#,Title,Artist,Album,Source,Duration,Acousticness,Artist Country,Danceability,Energy,Explicit,Liveness,Genres,Popularity,Speechiness
400,Arroz Con Habichuela,El Gran Combo De Puerto Rico,Arroz Con Habichuela,My Saved Tracks,5:56,0.298,PR,0.694,0.697,No,0.056,"salsa, bolero, latin",41,0.060
401,Hard To Explain,The Strokes,Is This It,My Saved Tracks,3:44,0.000,US,0.406,0.682,No,0.100,"indie rock, garage rock revival, post-punk revival, new wave, rock, synth-pop, garage rock",68,0.058
402,Thinking About You,Lee Fields & The Expressions,Big Crown Vaults Vol. 1 - Lee Fields & The Expressions,My Saved Tracks,2:40,0.003,US,0.810,0.760,No,0.101,—,0,0.041
403,Perra,Rigoberta Bandini,Perra,My Saved Tracks,3:37,0.042,ES,0.730,0.704,No,0.202,—,44,0.070
404,Summer Never Dies,The Foxies,Summer Never Dies,My Saved Tracks,3:01,0.001,,0.549,0.872,No,0.186,—,35,0.059
405,Ringui Dingui - con SFDK,Kase.O,"Divertimentos, Vol. 2",My Saved Tracks,3:25,0.287,ES,0.873,0.793,No,0.081,—,3,0.088
406,Shrugs,Bea Anderson,Eden.,My Saved Tracks,3:05,0.577,GB,0.559,0.504,No,0.216,—,0,0.333
407,Mira cómo vuelo,Miss Caffeina,Detroit,My Saved Tracks,3:09,0.001,ES,0.598,0.886,No,0.545,—,56,0.034
408,It’s Your Own Body,Hot Potato Band,It’s Your Own Body,My Saved Tracks,3:45,0.080,,0.383,0.639,No,0.195,—,12,0.217
409,Rap,Kaze,No Encajes,My Saved Tracks,3:20,0.501,ES,0.625,0.731,No,0.460,—,0,0.337
410,Pena,Mala Rodríguez,MALA,My Saved Tracks,3:16,0.201,ES,0.494,0.625,No,0.594,hip hop,29,0.296
411,Tiempo de Amar,Kion Studio,Tiempo de Amar,My Saved Tracks,4:39,0.826,,0.789,0.533,No,0.189,—,0,0.042
412,Ciudad Maravilla,Magnatiz,A Puerto,My Saved Tracks,6:05,0.035,,0.542,0.836,No,0.265,—,0,0.344
413,Rituales de Santería,ZOO,Raval,My Saved Tracks,3:28,0.166,JP,0.724,0.792,No,0.138,—,1,0.049
414,Rumble And Sway,Jamie N Commons,Rumble And Sway,My Saved Tracks,3:05,0.114,GB,0.634,0.831,No,0.131,"blues, pop, roots rock, blues rock, country, alternative rock, americana",24,0.246
415,Habana (feat. Sule B),Dollar Selmouni,Habana (feat. Sule B),My Saved Tracks,3:44,0.213,ES,0.683,0.665,No,0.130,—,26,0.200
416,Blood on My Name,The Brothers Bright,A Song Treasury,My Saved Tracks,4:20,0.106,,0.563,0.470,No,0.061,—,52,0.040
417,Echoing,Kings of Leon,Echoing,My Saved Tracks,3:37,0.015,US,0.293,0.778,No,0.102,"alternative rock, indie rock, southern rock, garage rock, pop rock, rock, garage rock revival",33,0.034
418,Katchi,Nick Waterhouse,Never Twice,My Saved Tracks,3:40,0.128,US,0.676,0.721,No,0.111,"soul, r&b, singer-songwriter, blue-eyed soul",0,0.039
419,La Canción del Pensador,Ciudad Jara,Donde Nace el Infarto,My Saved Tracks,4:25,0.267,ES,0.568,0.458,No,0.209,—,0,0.027
420,Jungle,Tash Sultana,Notion,My Saved Tracks,5:15,0.285,AU,0.589,0.699,No,0.088,singer-songwriter,1,0.029
421,Don't Care Darlin',Nathaniel Rateliff & The Night Sweats,Fug Yep No. 3,My Saved Tracks,3:43,0.215,US,0.570,0.525,No,0.113,"folk rock, country rock, roots rock, heartland rock",0,0.035
422,Lightning Bolt,Jake Bugg,Jake Bugg,My Saved Tracks,2:24,0.082,GB,0.551,0.839,No,0.151,"blues, folk, indie folk, alternative rock, indie rock, singer-songwriter",61,0.079
423,Itaboy! (feat. SFDK),Rayden,Itaboy! (feat. SFDK),My Saved Tracks,3:05,0.690,MD,0.761,0.935,No,0.875,—,25,0.242
424,El Colectivo (Live Sessions),La Sra. Tomasa,Live Sessions,My Saved Tracks,5:18,0.332,ES,0.762,0.749,No,0.448,—,19,0.304
425,I Got The... - 2006 Remaster,Labi Siffre,Remember My Song,My Saved Tracks,6:35,0.110,GB,0.476,0.604,No,0.134,—,62,0.117
426,Whatcha Mouth,Hablando En Plata,Libertad Hambre,My Saved Tracks,4:46,0.040,,0.600,0.828,No,0.327,—,0,0.324
427,Mi Yo Cabrón,TéCanela,Las Dos Caras del Hilo,My Saved Tracks,3:02,0.278,ES,0.677,0.757,No,0.372,—,0,0.134
428,Waiting On A War,Foo Fighters,Waiting On A War,My Saved Tracks,4:13,0.010,US,0.530,0.759,No,0.319,"rock, alternative rock, post-grunge, hard rock, grunge",0,0.035
429,Ideales,Blake,Ideales,My Saved Tracks,4:12,0.011,ES,0.602,0.632,No,0.084,—,0,0.277
430,Kambelleh,Fyahbwoy,F.y.a.h.,My Saved Tracks,3:29,0.446,ES,0.833,0.850,No,0.546,—,0,0.087
431,And It's Still Alright,Nathaniel Rateliff,And It's Still Alright,My Saved Tracks,3:55,0.689,US,0.521,0.492,No,0.118,"folk rock, soul",0,0.030
432,One Time,Otis Junior,Rising With It,My Saved Tracks,3:30,0.159,US,0.666,0.566,No,0.106,—,0,0.602
433,In Your Head,Isabelle Brown,In Your Head,My Saved Tracks,2:57,0.003,GB,0.570,0.729,No,0.204,—,0,0.176
434,Wish I Knew You,The Revivalists,Men Amongst Mountains,My Saved Tracks,4:34,0.142,US,0.649,0.718,No,0.124,—,75,0.026
435,You And I,The Revivalists,Take Good Care,My Saved Tracks,4:43,0.014,US,0.565,0.861,No,0.263,—,44,0.044
436,Love Is Back,Celeste,Love Is Back,My Saved Tracks,4:16,0.256,GB,0.678,0.654,No,0.316,"alternative r&b, r&b, contemporary r&b, neo soul, soul, pop, jazz",42,0.063
437,"Nathy Peluso: Bzrp Music Sessions, Vol. 36/66",Bizarrap,"Nathy Peluso: Bzrp Music Sessions, Vol. 36/66",My Saved Tracks,2:51,0.250,AR,0.650,0.655,No,0.069,"trap latino, trap edm, trap, pop, latin, reggaeton, hip hop",66,0.405
438,The Love,Dekker,The Love,My Saved Tracks,2:38,0.677,GB,0.695,0.470,No,0.104,—,0,0.037
439,How Lucky,Kurt Vile,How Lucky,My Saved Tracks,3:23,0.465,US,0.523,0.441,No,0.365,"indie rock, indie folk, lo-fi, rock",0,0.031
440,True Sorry - Duo Version,Ibrahim Maalouf,40 Melodies,My Saved Tracks,4:09,0.986,FR,0.409,0.110,No,0.243,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",30,0.042
441,Free Spirit - Duo Version,Ibrahim Maalouf,40 Melodies,My Saved Tracks,4:22,0.953,FR,0.571,0.128,No,0.285,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",43,0.074
442,Beirut - Duo Version,Ibrahim Maalouf,40 Melodies,My Saved Tracks,4:37,0.985,FR,0.348,0.092,No,0.252,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",27,0.045
443,Happy Face - Duo Version,Ibrahim Maalouf,40 Melodies,My Saved Tracks,4:07,0.989,FR,0.805,0.097,No,0.104,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",22,0.123
444,Hashish - Duo Version,Ibrahim Maalouf,40 Melodies,My Saved Tracks,2:37,0.991,FR,0.465,0.176,No,0.102,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",24,0.111
445,Défilé 1962 - Duo Version,Ibrahim Maalouf,40 Melodies,My Saved Tracks,3:54,0.992,FR,0.270,0.065,No,0.083,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",32,0.064
446,Harlem - Duo Version,Ibrahim Maalouf,40 Melodies,My Saved Tracks,4:32,0.642,FR,0.733,0.533,No,0.076,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",32,0.047
447,Red & Black Light - Duo Version,Ibrahim Maalouf,40 Melodies,My Saved Tracks,3:12,0.984,FR,0.388,0.120,No,0.110,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",24,0.039
448,Esse Emme - Duo Version,Ibrahim Maalouf,40 Melodies,My Saved Tracks,3:16,0.976,FR,0.807,0.245,No,0.069,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",22,0.107
449,Celle que vous croyez - Duo Version,Ibrahim Maalouf,40 Melodies,My Saved Tracks,3:40,0.983,FR,0.373,0.091,No,0.108,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",20,0.041
450,InPressi - Duo Version,Ibrahim Maalouf,40 Melodies,My Saved Tracks,3:48,0.988,FR,0.369,0.081,No,0.146,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",17,0.040
451,Diaspora - Duo Version,Ibrahim Maalouf,40 Melodies,My Saved Tracks,2:54,0.901,FR,0.706,0.481,No,0.081,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",18,0.057
452,Les Quais - Duo Version,Ibrahim Maalouf,40 Melodies,My Saved Tracks,3:06,0.936,FR,0.188,0.118,No,0.119,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",19,0.035
453,Will Soon Be a Woman - Duo Version,Ibrahim Maalouf,40 Melodies,My Saved Tracks,3:09,0.991,FR,0.666,0.118,No,0.111,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",22,0.047
454,Essentielles - Duo Version,Ibrahim Maalouf,40 Melodies,My Saved Tracks,2:08,0.991,FR,0.656,0.304,No,0.097,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",18,0.079
455,Radio Magallanes - Duo Version,Ibrahim Maalouf,40 Melodies,My Saved Tracks,5:35,0.982,FR,0.305,0.067,No,0.176,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",18,0.041
456,Surprises - Duo Version,Ibrahim Maalouf,40 Melodies,My Saved Tracks,4:14,0.985,FR,0.382,0.010,No,0.142,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",16,0.046
457,L'Anniversaire - Duo Version,Ibrahim Maalouf,40 Melodies,My Saved Tracks,2:24,0.979,FR,0.274,0.066,No,0.262,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",16,0.047
458,Levantine Symphony No. 1 - Duo Version,Ibrahim Maalouf,40 Melodies,My Saved Tracks,4:47,0.986,FR,0.335,0.035,No,0.112,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",20,0.037
459,Improbable - Duo Version,Ibrahim Maalouf,40 Melodies,My Saved Tracks,3:57,0.983,FR,0.379,0.149,No,0.101,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",16,0.043
460,Le Grand Voyage - Duo Version,Ibrahim Maalouf,40 Melodies,My Saved Tracks,3:08,0.923,FR,0.502,0.197,No,0.106,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",20,0.033
461,Radiance - Duo Version,Ibrahim Maalouf,40 Melodies,My Saved Tracks,2:55,0.992,FR,0.324,0.060,No,0.185,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",16,0.040
462,L'Heure du T - Duo Version,Ibrahim Maalouf,40 Melodies,My Saved Tracks,3:08,0.986,FR,0.299,0.064,No,0.097,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",14,0.037
463,All I Can't Say - Duo Version,Ibrahim Maalouf,40 Melodies,My Saved Tracks,3:11,0.980,FR,0.535,0.123,No,0.087,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",20,0.038
464,Gebrayel - Duo Version,Ibrahim Maalouf,40 Melodies,My Saved Tracks,1:59,0.981,FR,0.677,0.347,No,0.087,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",18,0.084
465,Marseille - Duo Version,Ibrahim Maalouf,40 Melodies,My Saved Tracks,3:49,0.972,FR,0.422,0.150,No,0.119,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",19,0.072
466,Your Soul - Duo Version,Ibrahim Maalouf,40 Melodies,My Saved Tracks,2:41,0.991,FR,0.230,0.051,No,0.183,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",14,0.044
467,Shadows - Duo Version,Ibrahim Maalouf,40 Melodies,My Saved Tracks,3:14,0.990,FR,0.671,0.099,No,0.103,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",15,0.046
468,Goodnight Kiss - Duo Version,Ibrahim Maalouf,40 Melodies,My Saved Tracks,3:50,0.939,FR,0.358,0.140,No,0.171,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",16,0.041
469,Sensuality - Duo Version,Ibrahim Maalouf,40 Melodies,My Saved Tracks,4:04,0.947,FR,0.639,0.126,No,0.107,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",14,0.095
470,Questions & Answers - Duo Version,Ibrahim Maalouf,40 Melodies,My Saved Tracks,3:29,0.965,FR,0.637,0.108,No,0.091,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",14,0.063
471,Red Rose - Duo Version,Ibrahim Maalouf,40 Melodies,My Saved Tracks,3:21,0.987,FR,0.309,0.051,No,0.096,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",13,0.048
472,Election Night - Duo Version,Ibrahim Maalouf,40 Melodies,My Saved Tracks,2:52,0.903,FR,0.494,0.069,No,0.109,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",13,0.044
473,Ya Ha La - Duo Version,Ibrahim Maalouf,40 Melodies,My Saved Tracks,2:18,0.971,FR,0.372,0.138,No,0.121,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",12,0.039
474,Waiting - Duo Version,Ibrahim Maalouf,40 Melodies,My Saved Tracks,3:08,0.987,FR,0.485,0.007,No,0.097,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",12,0.049
475,Salma Ya Salama - Duo Version,Ibrahim Maalouf,40 Melodies,My Saved Tracks,3:35,0.984,FR,0.355,0.059,No,0.114,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",15,0.040
476,All Around the Wall,Ibrahim Maalouf,40 Melodies,My Saved Tracks,3:03,0.988,FR,0.734,0.152,No,0.124,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",33,0.107
477,Layla's Wedding,Ibrahim Maalouf,40 Melodies,My Saved Tracks,2:28,0.912,FR,0.860,0.608,No,0.130,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",13,0.101
478,If I,Ibrahim Maalouf,40 Melodies,My Saved Tracks,6:16,0.985,FR,0.578,0.034,No,0.114,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",12,0.050
479,Si No Vuelves,Gente De Zona,Si No Vuelves,My Saved Tracks,3:35,0.102,CU,0.681,0.912,No,0.325,"latin, pop, reggaeton",0,0.040
480,Granada enamora (feat. Estrella Morente),Niño Josele,El mar de mi ventana,My Saved Tracks,3:48,0.776,ES,0.638,0.456,No,0.089,jazz,22,0.064
481,We Can't Stop,Boyce Avenue,"Cover Sessions, Vol. 3",My Saved Tracks,3:42,0.674,US,0.705,0.347,No,0.120,"alternative rock, pop rock",61,0.030
482,Rain,The Teskey Brothers,Run Home Slow,My Saved Tracks,4:14,0.460,AU,0.460,0.311,No,0.110,"blues rock, soul",55,0.031
483,Run,Delta Rae,After It All,My Saved Tracks,2:58,0.178,US,0.492,0.872,No,0.074,"folk rock, country rock, blues rock, roots rock",31,0.056
484,River - Live at SXSW 2015,Leon Bridges,Spotify Sessions,My Saved Tracks,4:15,0.700,US,0.438,0.217,No,0.706,"r&b, soul, smooth soul, neo soul",37,0.035
485,Place I Belong,Michael Kiwanuka,Love & Hate,My Saved Tracks,4:47,0.250,GB,0.465,0.584,No,0.346,soul,42,0.038
486,What did i do wrong,Freedonia,Freedonia,My Saved Tracks,3:25,0.579,,0.807,0.697,No,0.110,—,14,0.040
487,Mojo picón,Chukky,Espacial,My Saved Tracks,3:59,0.875,,0.696,0.248,No,0.132,—,0,0.328
488,You Don't Know,Sola Rosa,Chasing The Sun,My Saved Tracks,3:47,0.216,NZ,0.685,0.652,No,0.042,—,0,0.309
489,Like I Want You - Acoustic,GIVĒON,Spotify Singles,My Saved Tracks,3:05,0.798,US,0.463,0.381,No,0.109,"r&b, contemporary r&b, pop soul",50,0.031
490,First Began - Acoustic Version,PJ Morton,The Piano Album,My Saved Tracks,3:33,0.926,US,0.497,0.151,No,0.720,soul,31,0.050
491,Estudio,Frédéric Chopin,Colina-Serrano Project,My Saved Tracks,11:57,0.447,PL,0.452,0.410,No,0.173,"classical, romantic classical",0,0.041
492,Sin Temor,Ahyvin Bruno,Sin Temor,My Saved Tracks,2:19,0.823,,0.935,0.507,No,0.096,—,4,0.094
493,Ella (Live Sessions),La Sra. Tomasa,Live Sessions,My Saved Tracks,5:19,0.538,ES,0.582,0.814,No,0.115,—,32,0.086
494,Vampire,Iseo & Dodosound,Roots in the Air,My Saved Tracks,3:35,0.137,ES,0.707,0.607,No,0.042,"reggae, dub",41,0.035
495,Ella No Veía la Tele,R De Rumba,Ella No Veía la Tele,My Saved Tracks,3:10,0.642,ES,0.761,0.791,No,0.152,—,0,0.269
496,Palabras,Nach,Ars Magna / Miradas,My Saved Tracks,3:01,0.356,ES,0.765,0.837,No,0.072,hip hop,0,0.210
497,Sed de Fuego,Sharif,Sed de Fuego,My Saved Tracks,3:29,0.807,,0.693,0.390,No,0.118,—,0,0.041
498,Rock 'n' Roll (Part 2),Gary Glitter,Glitter,My Saved Tracks,3:13,0.000,GB,0.710,0.314,No,0.086,"glam rock, pop, pop rock",63,0.082
499,Bohemian Like You,The Dandy Warhols,Thirteen Tales From Urban Bohemia,My Saved Tracks,3:31,0.003,US,0.584,0.931,No,0.133,"alternative rock, indie rock, neo-psychedelia, pop rock, indie pop",4,0.034
500,Boa Me (feat. Ed Sheeran & Mugeez),Fuse ODG,New Africa Nation,My Saved Tracks,3:00,0.165,GB,0.906,0.597,No,0.077,—,45,0.076
501,Chienne de vie,Zoufris Maracas,Chienne de vie,My Saved Tracks,4:45,0.539,FR,0.699,0.523,No,0.125,singer-songwriter,44,0.039
502,Diamonds Never Die,Moriarty,Epitaph,My Saved Tracks,4:25,0.733,FR,0.727,0.468,No,0.085,"rock, blues, country, folk",49,0.052
503,Balade brésilienne,Gaël Faye,Des fleurs,My Saved Tracks,4:36,0.337,FR,0.834,0.700,No,0.126,—,54,0.107
504,Armored Hearts,Dharmasoul,Lightning Kid,My Saved Tracks,4:02,0.915,,0.332,0.145,No,0.093,—,0,0.063
505,Come Together,Gary Clark Jr.,Come Together,My Saved Tracks,3:13,0.003,US,0.447,0.788,No,0.074,"soul, blues, rock and roll, contemporary r&b, hard rock, blues rock",62,0.046
506,Strawberries,Caamp,Boys (Side B),My Saved Tracks,3:39,0.963,US,0.547,0.090,No,0.111,"americana, indie folk",0,0.046
507,House Is Rockin’,Kenny Wayne Shepherd,Goin' Home,My Saved Tracks,2:57,0.002,US,0.355,0.953,No,0.242,"blues rock, rock",20,0.048
508,Wildflowers & Wine,Marcus King,El Dorado,My Saved Tracks,4:48,0.647,US,0.447,0.428,No,0.112,country,63,0.041
509,Bad Bad News,Leon Bridges,Good Thing,My Saved Tracks,3:27,0.231,US,0.783,0.629,No,0.088,"r&b, soul, smooth soul, neo soul",66,0.061
510,Astrovan,Mt. Joy,Mt. Joy,My Saved Tracks,3:06,0.867,US,0.547,0.444,No,0.134,"indie rock, blues rock, americana, alternative rock, folk rock, indie folk",1,0.039
511,Trick To Happy,Bahamas,Sad Hunk,My Saved Tracks,3:24,0.535,CA,0.755,0.289,No,0.109,folk,57,0.061
512,Sixtinain,Guitarricadelafuente,Sixtinain,My Saved Tracks,3:23,0.199,ES,0.341,0.713,No,0.137,—,0,0.042
513,Gin Tonic,Matasvandals,Gin Tonic,My Saved Tracks,3:00,0.418,ES,0.693,0.584,No,0.134,—,0,0.259
514,Hacia el sur - Mix 2019,Colectivo Panamera,Colectivo Panamera (Edición especial),My Saved Tracks,3:20,0.239,,0.819,0.701,No,0.025,—,38,0.044
515,El arenal (feat. Muerdo) - Acústico,Colectivo Panamera,Colectivo Panamera (Edición especial),My Saved Tracks,3:38,0.358,,0.782,0.601,No,0.052,—,50,0.131
516,Come Home,Ben L'Oncle Soul,Ben L'Oncle Soul,My Saved Tracks,3:47,0.039,FR,0.638,0.555,No,0.315,soul,32,0.042
517,Can't Help Falling in Love,Elvis Presley,Blue Hawaii,My Saved Tracks,3:05,0.941,US,0.396,0.293,No,0.105,"rockabilly, rock and roll, country, rock, pop, gospel, blue-eyed soul, blues, soul, r&b, pop rock, christmas music",83,0.028
518,Daydream In Blue,I Monster,Neveroddoreven,My Saved Tracks,3:43,0.015,GB,0.546,0.508,No,0.116,"electronic, electropop, electronica, trip hop, hauntology, downtempo, sampledelia, neo-psychedelia, synth-pop, electro",0,0.027
519,The Bay,Metronomy,The English Riviera,My Saved Tracks,4:50,0.587,GB,0.803,0.470,No,0.072,"synth-pop, indietronica, indie rock, electropop, indie pop, art pop, new rave, electronic",66,0.039
520,Heads Will Roll - A-Trak Remix,Yeah Yeah Yeahs,Heads Will Roll (A-Trak Remix),My Saved Tracks,6:23,0.007,US,0.738,0.607,No,0.070,"indie rock, garage rock, post-punk, alternative rock, rock",73,0.085
521,Ya mi mama me decía,Guitarricadelafuente,Ya mi mama me decía,My Saved Tracks,3:08,0.540,ES,0.677,0.423,No,0.088,—,0,0.086
522,Fast Car,Black Pumas,Black Pumas (Deluxe Edition),My Saved Tracks,5:41,0.747,US,0.671,0.264,No,0.179,"psychedelic soul, southern soul, psychedelic, soul",42,0.039
523,Hold Me,The Teskey Brothers,Run Home Slow,My Saved Tracks,3:07,0.365,AU,0.650,0.456,No,0.092,"blues rock, soul",53,0.472
524,Alitas de mar (feat. Juanito Makandé),Tu Otra Bonita,Alitas de mar (feat. Juanito Makandé),My Saved Tracks,3:14,0.578,,0.653,0.606,No,0.101,—,39,0.037
525,Tú Me Dejaste De Querer,C. Tangana,Tú Me Dejaste De Querer,My Saved Tracks,3:18,0.310,ES,0.812,0.747,No,0.100,hip hop,56,0.150
526,Sweet Disposition - Axwell & Dirty South Remix,The Temper Trap,Sweet Disposition (Remixes),My Saved Tracks,6:44,0.015,AU,0.685,0.656,No,0.261,"indie rock, pop, new wave, alternative dance, indie pop",0,0.046
527,Shooting Stars,Rival Sons,Feral Roots,My Saved Tracks,4:20,0.318,US,0.396,0.708,No,0.106,"hard rock, blues rock, rock",49,0.045
528,Don't Stop The Groove,Rudey Barnes,Don't Stop the Groove,My Saved Tracks,3:34,0.028,,0.635,0.597,No,0.097,—,18,0.054
529,This is Our Life,Des Rocs,This is Our Life,My Saved Tracks,3:44,0.001,US,0.367,0.877,No,0.351,"alternative rock, hard rock, glam rock",0,0.109
530,Everything You're Breathing For,The Parlor Mob,And You Were A Crow,My Saved Tracks,3:46,0.001,US,0.557,0.815,No,0.093,"rock, hard rock",51,0.033
531,Qué Pasa,Projota,Qué Pasa,My Saved Tracks,3:16,0.042,BR,0.937,0.571,No,0.469,—,41,0.227
532,Ojalá,La Maravillosa Orquesta del Alcohol,Ojalá,My Saved Tracks,4:06,0.653,ES,0.523,0.470,No,0.315,—,0,0.040
533,Desarraigo,Extremoduro,Material defectuoso,My Saved Tracks,7:37,0.008,ES,0.512,0.458,No,0.109,"rock, rock urbano, hard rock, progressive rock",51,0.028
534,Maldita Pena,Matasvandals,Maldita Pena,My Saved Tracks,4:01,0.068,ES,0.823,0.894,No,0.213,—,0,0.214
535,Pack It In,Keys & Copper,Pack it in,My Saved Tracks,3:23,0.632,,0.909,0.566,No,0.068,—,41,0.034
536,Bolero Triste,Matthieu Saglio,Bolero Triste,My Saved Tracks,5:26,0.884,ES,0.548,0.145,No,0.116,—,0,0.030
537,Testify,Davie,Testify,My Saved Tracks,3:06,0.083,US,0.623,0.692,No,0.319,—,0,0.276
538,Let It Ride,The Blue Stones,Let It Ride,My Saved Tracks,3:37,0.000,CA,0.530,0.896,No,0.271,"blues rock, garage rock",0,0.040
539,El Hipo,Danny Romero,El Hipo,My Saved Tracks,2:51,0.320,ES,0.814,0.595,No,0.095,"latin, reggaeton",45,0.274
540,Dirty,grandson,Dirty,My Saved Tracks,3:27,0.003,CA,0.536,0.845,No,0.046,"alternative rock, rap rock, political hip hop, indie rock, nu metal",46,0.061
541,Anybody Else,The Ballroom Thieves,Deadeye,My Saved Tracks,4:03,0.022,US,0.329,0.457,No,0.100,—,0,0.034
542,Kachucha,Roberto Fonseca,Yesun,My Saved Tracks,4:11,0.627,CU,0.845,0.555,No,0.107,"jazz, latin",43,0.043
543,Little Bit of Feel Good,Jamie Lidell,Jim,My Saved Tracks,4:02,0.075,GB,0.673,0.704,No,0.662,"soul, electronic",0,0.094
544,Maeva in Wonderland - Duo Version,Ibrahim Maalouf,40 Melodies,My Saved Tracks,4:35,0.956,FR,0.576,0.372,No,0.119,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",19,0.153
545,Multiply,Jamie Lidell,Multiply,My Saved Tracks,4:26,0.148,GB,0.832,0.593,No,0.276,"soul, electronic",0,0.092
546,S3NS - Duo Version,Ibrahim Maalouf,40 Melodies,My Saved Tracks,4:41,0.990,FR,0.443,0.096,No,0.122,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",36,0.035
547,Una Rosa Blanca - Duo Version,Ibrahim Maalouf,40 Melodies,My Saved Tracks,2:44,0.960,FR,0.668,0.354,No,0.091,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",25,0.057
548,Amor Temporero,Marea,Revolcón,My Saved Tracks,3:58,0.010,ES,0.498,0.976,No,0.014,rock,0,0.113
549,Kalthoum (Movement I) - Duo Version,Ibrahim Maalouf,40 Melodies,My Saved Tracks,3:38,0.989,FR,0.488,0.075,No,0.104,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",21,0.043
550,I Need A Dollar,Aloe Blacc,Good Things,My Saved Tracks,4:03,0.202,US,0.840,0.482,No,0.087,"contemporary r&b, soul, neo soul, r&b, pop soul",0,0.033
551,Reckoning Song,Asaf Avidan,The Reckoning,My Saved Tracks,2:46,0.781,IL,0.610,0.285,No,0.077,"indie rock, singer-songwriter, pop, indie folk, rock",0,0.204
552,Need Your Love,Curtis Harding,Face Your Fear,My Saved Tracks,2:57,0.049,US,0.713,0.800,No,0.092,"singer-songwriter, r&b, soul",54,0.035
553,Home Again,Michael Kiwanuka,Home Again (Deluxe Version),My Saved Tracks,3:29,0.706,GB,0.564,0.320,No,0.123,soul,65,0.031
554,Another Day,Jamie Lidell,Jim,My Saved Tracks,3:48,0.163,GB,0.702,0.634,No,0.288,"soul, electronic",0,0.042
555,Mountain,Jonathan Jeremiah,Good Day,My Saved Tracks,2:57,0.573,GB,0.706,0.716,No,0.064,"singer-songwriter, rock",41,0.056
556,It Don't Matter,Donavon Frankenreiter,Donavon Frankenreiter,My Saved Tracks,3:06,0.095,US,0.937,0.528,No,0.237,"surf, soft rock",62,0.035
557,Doubts 2,Ibrahim Maalouf,Wind,My Saved Tracks,4:54,0.970,FR,0.369,0.206,No,0.140,"jazz, classical, jazz fusion, contemporary jazz, jazz-funk, jazz pop",40,0.030
558,Cerrado Por Derribo,Niño de Elche,Tributo a Sabina. Ni Tan Joven Ni Tan Viejo,My Saved Tracks,3:41,0.647,ES,0.615,0.375,No,0.119,flamenco,42,0.068
